,interaction_histogram,mse,interaction_spread,interaction_similarity,rec_similarity,mean_num_topics,serendipity_metric,diversity_metric,novelty_metric,timesteps,model,state
0,,0.014654112668664307,,,,,,,,0,cosine_sim,train
1,[5. 2. 2. ... 1. 0. 0.],0.014654112668664307,-940.0,0.0023446751134946543,0.0041730473972721996,1.0,0.5102863202545069,0.9020737598680337,29.730417412198687,1,cosine_sim,train
2,[1. 0. 0. ... 1. 0. 0.],0.014654112668664307,0.0,0.002661421791496954,0.004173634620673632,2.0,0.4926829268292683,0.903994344291269,28.62074507558256,2,cosine_sim,train
3,[2. 1. 0. ... 0. 0. 0.],0.014654112668664307,0.0,0.0032280047545741423,0.004203348588994211,3.0,0.4704135737009544,0.904583480617415,30.952606535029215,3,cosine_sim,train
4,[4. 1. 0. ... 1. 0. 0.],0.014654112668664307,0.0,0.003830155451128363,0.004178053882951581,4.0,0.45726405090137856,0.903440556144692,28.347203636669597,4,cosine_sim,train
5,[2. 1. 0. ... 0. 0. 0.],0.014654112668664307,0.0,0.004442106641548991,0.004188968191942331,5.0,0.45737009544008483,0.9026039825615649,29.298042266969258,5,cosine_sim,train
6,[3. 0. 2. ... 0. 0. 0.],0.014654112668664307,0.0,0.004968870509061888,0.00418741232071666,6.0,0.41071049840933194,0.9041357370095442,30.543449632761522,6,cosine_sim,train
7,[3. 1. 1. ... 0. 0. 0.],0.014654112668664307,0.5,0.0055880200694582004,0.004177970325471549,7.0,0.39840933191940614,0.9031695534346649,28.17740269959072,7,cosine_sim,train
8,[1. 0. 3. ... 0. 0. 0.],0.014654112668664307,-0.5,0.0061808766291973636,0.004215891495165457,8.0,0.39172852598091196,0.9050430069518086,28.782953066469357,8,cosine_sim,train
9,[1. 0. 2. ... 0. 0. 0.],0.014654112668664307,0.0,0.006766778916132843,0.004177571880080585,9.0,0.39416755037115586,0.9045599151643691,27.81799059169137,9,cosine_sim,train
10,[2. 0. 0. ... 0. 0. 0.],0.014654112668664307,0.0,0.007360156823879856,0.004187690071969782,10.0,0.39236479321314954,0.9034169906916462,28.332617030548626,10,cosine_sim,train
11,[4. 1. 2. ... 0. 0. 0.],0.014654112668664307,0.0,0.007991696010772058,0.0041933394860372945,11.0,0.3739130434782609,0.9013903617297043,30.639306626743473,11,cosine_sim,train
12,[4. 0. 3. ... 0. 0. 1.],0.014654112668664307,0.0,0.008599592402581154,0.004187367253835067,12.0,0.3689289501590668,0.8996818663838814,27.38334262061962,12,cosine_sim,train
13,[2. 0. 0. ... 1. 0. 1.],0.014654112668664307,0.0,0.00924878154493988,0.004181142414991787,13.0,0.3750795334040297,0.9028985507246378,28.75485529427906,13,cosine_sim,train
14,[3. 1. 2. ... 0. 0. 0.],0.014654112668664307,0.0,0.009859489653325273,0.004186771713369654,14.0,0.3870625662778367,0.9032402497938024,29.429317126933306,14,cosine_sim,train
15,[3. 0. 0. ... 0. 0. 0.],0.014654112668664307,0.0,0.010467260506379361,0.004215653201611257,15.0,0.18547189819724283,0.9063273241428067,30.391899332416635,15,cosine_sim,train
16,[5. 1. 1. ... 0. 0. 0.],0.014654112668664307,0.5,0.011086917119382778,0.004183197310056606,16.0,0.15959703075291623,0.9036762106751505,30.15497692655513,16,cosine_sim,train
17,[3. 3. 0. ... 0. 0. 0.],0.014654112668664307,0.5,0.011707037540410437,0.004191938350885794,17.0,0.3488865323435843,0.9043360433604337,28.426049370837347,17,cosine_sim,train
18,[5. 1. 0. ... 0. 0. 0.],0.014654112668664307,-0.5,0.012282562485061406,0.0042359476114174595,18.0,0.16224814422057265,0.9035112525038295,28.47989564905702,18,cosine_sim,train
19,[2. 0. 1. ... 0. 0. 0.],0.014654112668664307,0.0,0.012868453029786127,0.004203449941122774,19.0,0.12820784729586426,0.903440556144692,29.373777179682723,19,cosine_sim,train
20,[1. 0. 2. ... 0. 0. 0.],0.014654112668664307,0.0,0.013483412446093062,0.004202021727158299,20.0,0.11770943796394485,0.9046777424295983,28.06060172977292,20,cosine_sim,train
21,[3. 1. 1. ... 1. 0. 0.],0.014654112668664307,-0.5,0.014098665041155548,0.004182697512537079,21.0,0.1215270413573701,0.9037940379403796,30.176155849991563,21,cosine_sim,train
22,[3. 0. 2. ... 0. 0. 0.],0.014654112668664307,0.5,0.01466226835014898,0.004209867619798486,22.0,0.14411452810180275,0.903711558854719,26.787118473959413,22,cosine_sim,train
23,[3. 0. 0. ... 1. 0. 0.],0.014654112668664307,-1.0,0.01528315702482676,0.004195167692753474,23.0,0.10296924708377518,0.9033345116059859,26.805200094270432,23,cosine_sim,train
24,[2. 1. 1. ... 0. 0. 0.],0.014654112668664307,1.5,0.015863130478290185,0.004192298112258211,24.0,0.10498409331919406,0.9035112525038295,29.62997110598382,24,cosine_sim,train
25,[4. 0. 1. ... 0. 0. 0.],0.014654112668664307,-1.0,0.016491658139506208,0.0042140385306774055,25.0,0.10212089077412513,0.9016495817132086,28.90551118931399,25,cosine_sim,train
26,[1. 0. 0. ... 0. 0. 0.],0.014654112668664307,0.5,0.01707153244645686,0.004189608799289343,26.0,0.0977730646871686,0.9029574643572524,29.53802432460561,26,cosine_sim,train
27,[2. 0. 0. ... 0. 0. 0.],0.014654112668664307,-0.5,0.017599338001003613,0.004173829588127075,27.0,0.09978791092258749,0.9001767408978439,27.58380001468808,27,cosine_sim,train
28,[1. 0. 0. ... 0. 0. 0.],0.014654112668664307,0.5,0.018189008109457058,0.0042174257033407376,28.0,0.07889713679745493,0.9030752916224816,27.910475418890556,28,cosine_sim,train
29,[1. 1. 0. ... 1. 0. 0.],0.014654112668664307,0.0,0.018760111515095018,0.00420089524853843,29.0,0.07953340402969247,0.9020973253210794,29.51895165238275,29,cosine_sim,train
30,[3. 0. 2. ... 0. 0. 0.],0.014654112668664307,0.0,0.019330395244350578,0.004196103846002128,30.0,0.0784729586426299,0.9007894426770356,28.910091133936717,30,cosine_sim,train
31,[3. 0. 0. ... 1. 0. 0.],0.014654112668664307,0.5,0.019968561991914234,0.004218255088698221,31.0,0.07815482502651114,0.9045363497113234,27.355814601683306,31,cosine_sim,train
32,[3. 4. 0. ... 0. 0. 0.],0.014654112668664307,-1.0,0.020543606063696776,0.004193878741255739,32.0,0.07518557794273595,0.9040768233769294,30.509536848595104,32,cosine_sim,train
33,[1. 0. 1. ... 0. 0. 0.],0.014654112668664307,1.0,0.021105322684210226,0.004173899993040814,33.0,0.08038176033934252,0.9025332862024273,30.396239086343343,33,cosine_sim,train
34,[1. 0. 0. ... 0. 0. 0.],0.014654112668664307,-1.0,0.021661791227704764,0.004221717114937423,34.0,0.05217391304347826,0.9036762106751504,28.999699532785087,34,cosine_sim,train
35,[3. 1. 2. ... 0. 0. 0.],0.014654112668664307,1.5,0.02223764123527791,0.004162897484487805,35.0,0.052067868504772005,0.8988688582538,27.843444807639845,35,cosine_sim,train
36,[2. 1. 2. ... 0. 0. 0.],0.014654112668664307,-1.5,0.02281836549188183,0.004185577150877161,36.0,0.000848356309650053,0.9024625898432899,28.91552928073222,36,cosine_sim,train
37,[1. 1. 1. ... 0. 0. 0.],0.014654112668664307,1.0,0.023406660020100205,0.004158794657481496,37.0,0.05164369034994698,0.903145987981619,29.04644898387869,37,cosine_sim,train
38,[2. 0. 1. ... 1. 0. 0.],0.014654112668664307,0.0,0.02395189826252043,0.004206630541127102,38.0,0.0,0.9018263226110524,29.201965368777767,38,cosine_sim,train
39,[0. 1. 2. ... 0. 0. 0.],0.014654112668664307,-0.5,0.024518136574530523,0.004192524026926478,39.0,0.0,0.8996818663838814,28.751892454851095,39,cosine_sim,train
40,[2. 0. 0. ... 0. 0. 0.],0.014654112668664307,1.5,0.025064533422794688,0.004214769658627817,40.0,0.0,0.9054907505596798,27.026107751608983,40,cosine_sim,train
41,[2. 0. 0. ... 0. 0. 0.],0.014654112668664307,-1.5,0.025616295338713523,0.004182200809739031,41.0,0.0,0.9058442323553672,28.011685064555053,41,cosine_sim,train
42,[2. 0. 0. ... 1. 0. 0.],0.014654112668664307,-0.5,0.026131378777978543,0.004199137446735995,42.0,0.0,0.9055614469188171,27.542946475467602,42,cosine_sim,train
43,[0. 1. 1. ... 0. 0. 0.],0.014654112668664307,1.5,0.02670159961945753,0.0041963932024608,43.0,0.0,0.9036762106751504,27.83170710944295,43,cosine_sim,train
44,[1. 1. 0. ... 0. 0. 0.],0.014654112668664307,-1.5,0.02724378171682873,0.004188788698096314,44.0,0.0,0.9005184399670084,28.933870046461244,44,cosine_sim,train
45,[4. 0. 1. ... 0. 0. 0.],0.014654112668664307,0.0,0.02780435958652628,0.004227727257477803,45.0,0.0,0.9030517261694359,28.87464729937939,45,cosine_sim,train
46,[1. 2. 2. ... 0. 0. 0.],0.014654112668664307,0.5,0.028350149228117315,0.004182265025209797,46.0,0.0,0.9027100271002712,28.35946447161238,46,cosine_sim,train
47,[11.  2.  0. ...  0.  0.  0.],0.014654112668664307,2.0,0.028873259687885143,0.004199128936251922,47.0,0.0,0.9019088016967127,27.07134973077956,47,cosine_sim,train
48,[5. 1. 1. ... 0. 0. 0.],0.014654112668664307,-2.0,0.029379882315438102,0.004190316716828619,48.0,0.0,0.9023918934841524,29.657917697990882,48,cosine_sim,train
49,[1. 1. 3. ... 0. 0. 0.],0.014654112668664307,-0.5,0.029943058191724232,0.004178814410756073,49.0,0.0,0.9026628961941795,28.658983109833674,49,cosine_sim,train
50,[2. 3. 0. ... 0. 0. 0.],0.014654112668664307,0.5,0.030454433487082613,0.004130991679676787,50.0,0.0,0.9023801107576295,27.89832141131078,50,cosine_sim,train
51,[2. 0. 0. ... 0. 0. 0.],0.5517416918695576,6.5,0.030565693425504616,0.008989158963578691,51.0,0.0,0.9364557558619064,89.64290199727324,51,cosine_sim,run
52,[5. 0. 0. ... 0. 0. 0.],0.5954952514608809,-0.5,0.030596033481754305,0.008457348097665546,52.0,0.0,0.9359962295275128,91.97992310688473,52,cosine_sim,run
53,[5. 0. 0. ... 0. 0. 0.],0.6370545101518442,1.0,0.030610937518619843,0.00821353588137727,53.0,0.0,0.9367267585719337,93.29918495303428,53,cosine_sim,run
54,[6. 0. 0. ... 0. 0. 0.],0.6779317431916841,0.0,0.03061347098127945,0.008072421223827338,54.0,0.0,0.9374455048898316,94.94235537668276,54,cosine_sim,run
55,[6. 0. 0. ... 0. 0. 0.],0.7187368127120463,-0.5,0.030619943888955878,0.007997909421257159,55.0,0.0,0.937256981265465,95.6707566139923,55,cosine_sim,run
56,[6. 0. 0. ... 0. 0. 0.],0.7596921370709024,0.0,0.030620296410745075,0.007892765872026556,56.0,0.0,0.9375868976081065,96.64350946566896,56,cosine_sim,run
57,[7. 0. 0. ... 0. 0. 0.],0.800817200939888,0.0,0.030620296410745075,0.007847541159632382,57.0,0.0,0.9373983739837398,97.86858496232927,57,cosine_sim,run
58,[7. 0. 0. ... 0. 0. 0.],0.8421547604653723,0.0,0.030622842113925127,0.007798318840762326,58.0,0.0,0.9377989866855191,98.82532130126495,58,cosine_sim,run
59,[7. 0. 0. ... 0. 0. 0.],0.8837468672541355,0.0,0.03062563204325146,0.007741363393166129,59.0,0.0,0.9378343348650878,99.54436660008894,59,cosine_sim,run
60,[8. 0. 0. ... 0. 0. 0.],0.9254481306040382,0.0,0.030628983372767603,0.007689229715060798,60.0,0.0,0.9381053375751149,100.4150162021314,60,cosine_sim,run
61,[8. 0. 0. ... 0. 0. 0.],0.9672785152202998,0.0,0.030629834742195886,0.007639209731728447,61.0,0.0,0.9382467302933899,101.24264335685011,61,cosine_sim,run
62,[8. 0. 0. ... 0. 0. 0.],1.0091662802929906,0.0,0.030631340361866054,0.007641971770652171,62.0,0.0,0.9389301284317193,101.79080374343745,62,cosine_sim,run
63,[8. 0. 0. ... 0. 0. 0.],1.0511826886247109,0.0,0.030631340361866054,0.007567530759835927,63.0,0.0,0.9394132202191589,101.92612452334983,63,cosine_sim,run
64,[8. 0. 0. ... 0. 0. 0.],1.0932092844064494,-0.5,0.030633258399637504,0.007562759472989258,64.0,0.0,0.9397784847413693,103.39632934212032,64,cosine_sim,run
65,[8. 0. 0. ... 0. 0. 0.],1.1352404012633892,0.0,0.03063365631314467,0.0075141222498996225,65.0,0.0,0.9399787910922588,103.8751527124045,65,cosine_sim,run
66,[8. 0. 0. ... 0. 0. 0.],1.177292628954177,0.5,0.03063495352970801,0.007482323212979772,66.0,0.0,0.9395428302109109,104.35586152619175,66,cosine_sim,run
67,[8. 0. 0. ... 0. 0. 0.],1.2193212454861366,0.0,0.030635681264452215,0.00743403936839949,67.0,0.0,0.939802050194415,104.61174849251567,67,cosine_sim,run
68,[8. 0. 0. ... 0. 0. 0.],1.2613414184083442,0.5,0.03063529561817724,0.007397031141543098,68.0,0.0,0.9402969247083776,105.19216720153406,68,cosine_sim,run
69,[8. 0. 0. ... 0. 0. 0.],1.3033563496103844,0.0,0.03063529561817724,0.00736258089541264,69.0,0.0,0.9402497938022859,105.73902157726324,69,cosine_sim,run
70,[8. 0. 0. ... 0. 0. 0.],1.3454455315013367,0.5,0.030636822461845677,0.007349904916217602,70.0,0.0,0.9404736656062214,106.36837341629035,70,cosine_sim,run
71,[8. 0. 0. ... 0. 0. 0.],1.3874472358347354,0.0,0.030636822461845677,0.007357774019268914,71.0,0.0,0.9405914928714506,106.40805377379061,71,cosine_sim,run
72,[8. 0. 0. ... 0. 0. 0.],1.4294013550223634,0.0,0.030638304227602373,0.007344485285220221,72.0,0.0,0.9407446683162485,106.63515264942109,72,cosine_sim,run
73,[8. 0. 0. ... 0. 0. 0.],1.4711320565779438,-0.5,0.030641597921143907,0.007354895734869482,73.0,0.0,0.9410628019323672,107.13059107408502,73,cosine_sim,run
74,[8. 0. 0. ... 0. 0. 0.],1.5126225504621262,0.0,0.030645029793423154,0.007353735214313294,74.0,0.0,0.9412984564628254,107.61203289484527,74,cosine_sim,run
75,[8. 0. 0. ... 0. 0. 0.],1.5541010077346837,0.0,0.030645029793423154,0.007326637833006745,75.0,0.0,0.9414751973606693,108.05041462931226,75,cosine_sim,run
