,interaction_histogram,mse,interaction_spread,interaction_similarity,rec_similarity,mean_num_topics,serendipity_metric,diversity_metric,novelty_metric,timesteps,model,state
0,,0.014654112668664307,,,,,,,,0,entropy,train
1,[2. 1. 1. ... 1. 0. 0.],0.014654112668664307,-940.0,0.002178242539491218,0.004173398648160543,1.0,0.5163308589607635,0.9048544833274421,29.330722624566217,1,entropy,train
2,[0. 0. 1. ... 0. 0. 0.],0.014654112668664307,0.5,0.002673791780105324,0.004220132810958134,2.0,0.5060445387062567,0.9029456816307294,29.432593456468986,2,entropy,train
3,[6. 0. 1. ... 0. 0. 0.],0.014654112668664307,-0.5,0.0032196831258739724,0.004189873397976155,3.0,0.4794273594909862,0.9029574643572524,30.62204420954937,3,entropy,train
4,[3. 0. 1. ... 0. 0. 0.],0.014654112668664307,1.0,0.003844817368361974,0.004221378436355099,4.0,0.46055143160127254,0.9021562389536939,29.43912731717929,4,entropy,train
5,[1. 0. 1. ... 0. 0. 0.],0.014654112668664307,-1.0,0.004461197121803894,0.004211867583556981,5.0,0.41060445387062566,0.8998114763756334,28.445463483316725,5,entropy,train
6,[8. 0. 0. ... 0. 0. 0.],2.538628167037303,4.0,0.004553633861680969,0.0052725446878919575,6.0,0.4900318133616119,0.9420054200542007,103.97346772706241,6,entropy,run
7,[8. 0. 0. ... 0. 0. 0.],2.5432629677589462,0.0,0.004554288142070177,0.005268149409705498,7.0,0.47974549310710496,0.9425356427477318,103.784419266567,7,entropy,run
8,[8. 0. 0. ... 0. 0. 0.],2.565406679396854,0.0,0.004554553943478292,0.005278695446839741,8.0,0.4711558854718982,0.9425709909273007,103.8396215242857,8,entropy,run
9,[8. 0. 0. ... 0. 0. 0.],2.616278513850152,0.0,0.004558192242239772,0.005300070688123937,9.0,0.44634146341463415,0.9429833863556027,103.79824211703054,9,entropy,run
10,[8. 0. 0. ... 0. 0. 0.],2.697645082516032,0.0,0.004561927092794804,0.005286571513014386,10.0,0.2849416755037116,0.942382467302934,103.54057519433807,10,entropy,run
