,interaction_histogram,mse,user_mse,recall_at_k,interaction_spread,inter_cluster_interaction_similarity,intra_cluster_interaction_similarity,diversity_metric,inter_cluster_rec_similarity,intra_cluster_rec_similarity,serendipity_metric,novelty_metric,timesteps,state,model
0,,0.08931927569564702,"[0.03512269 0.08176823 0.16119423 0.2149699  0.0185819  0.11124554
 0.05493359 0.09718496 0.10213215 0.081353   0.02764382 0.01835454
 0.07342841 0.08417624 0.1786969  0.02471253 0.06418505 0.07538343
 0.10776127 0.08185824 0.06708716 0.08488763 0.0281946  0.03353795
 0.074288   0.18818425 0.12575025 0.05631748 0.13691921 0.13798905
 0.06916201 0.15155806 0.28014308 0.16043212 0.22956102 0.1040545
 0.099477   0.02529007 0.10191967 0.10237688 0.04998185 0.02516649
 0.0379274  0.03044621 0.18660766 0.22513795 0.05932468 0.06156947
 0.03297156 0.06048666 0.06157646 0.09958673 0.19234143 0.21315472
 0.17127161 0.05150444 0.14133826 0.06425119 0.06388845 0.10638507
 0.23345853 0.04185619 0.11143599 0.03577578 0.01824727 0.1666513
 0.10447199 0.15654361 0.0810685  0.02337457 0.06825778 0.02117374
 0.04881544 0.08892404 0.14720946 0.03096676 0.03880418 0.12018169
 0.07227222 0.02607709 0.12377506 0.12004179 0.05943378 0.04775801
 0.05872562 0.11413085 0.0320188  0.07978089 0.02568852 0.0630806
 0.08794355 0.01946887 0.13019531 0.02089248 0.04675063 0.04453711
 0.0454026  0.09906888 0.0951271  0.09580615]",,,,,,,,,,0,train,entropy
1,[1. 0. 0. ... 0. 0. 0.],0.09321626569752806,"[0.0423986  0.08672108 0.159959   0.22921314 0.02273635 0.11557534
 0.0535857  0.10152408 0.10462656 0.08396676 0.03103319 0.02060328
 0.07690637 0.0901847  0.18773758 0.02882026 0.06883221 0.07952639
 0.10901723 0.08498447 0.0666794  0.08637273 0.0313852  0.03537971
 0.07918713 0.19953843 0.12913152 0.05845729 0.15299464 0.13633496
 0.07064892 0.14702944 0.28685609 0.16828253 0.23771217 0.10577929
 0.10239626 0.02563091 0.10525827 0.10714464 0.05337381 0.02937638
 0.03854343 0.03409473 0.19267027 0.22363715 0.06023157 0.06628317
 0.03831144 0.06676763 0.06591657 0.09977304 0.197211   0.21606594
 0.17758192 0.05941566 0.15315118 0.06678424 0.06783732 0.10754212
 0.22936345 0.04761301 0.12136894 0.03710567 0.021603   0.17724527
 0.10905363 0.16054569 0.0836613  0.02478823 0.07187624 0.02663225
 0.0531698  0.09546903 0.14876349 0.0346802  0.04215704 0.12341009
 0.07542659 0.02693166 0.12749037 0.12856546 0.06590508 0.05636909
 0.05735043 0.11641065 0.03480795 0.08471105 0.02517771 0.0671721
 0.09468686 0.0217444  0.12862946 0.02370134 0.05066167 0.04804897
 0.04949158 0.10333928 0.10195482 0.09982333]",0.37,-99.0,0.0,0.020959290608625523,0.8233333333333333,0.003454447949966227,0.023144317868431557,0.897,,1,train,entropy
2,[0. 0. 0. ... 0. 0. 0.],0.09725189157559204,"[0.05061605 0.09176414 0.17237754 0.22577276 0.02909707 0.11831352
 0.05880395 0.10160173 0.10984671 0.08624876 0.03384809 0.02504529
 0.08446737 0.0932641  0.19524283 0.03239219 0.07147001 0.08272996
 0.1089236  0.08721233 0.06578388 0.08994314 0.03295653 0.0427328
 0.08453665 0.19557414 0.13699448 0.06085713 0.16745572 0.13404898
 0.0721637  0.15087077 0.28655765 0.17462667 0.22931288 0.10689136
 0.11044081 0.02959215 0.10745975 0.12360362 0.05607787 0.03640475
 0.04661534 0.03961783 0.194524   0.23352208 0.06154209 0.07017936
 0.03977877 0.06854644 0.07057776 0.09966524 0.20223318 0.21935902
 0.17810907 0.06570054 0.16435375 0.07104942 0.06824927 0.10968206
 0.23729698 0.05119482 0.13254382 0.03996374 0.02672579 0.18313906
 0.11287042 0.164415   0.08649559 0.0274174  0.07431254 0.03166743
 0.0588542  0.09935539 0.15504998 0.03892818 0.04635797 0.12896344
 0.08003026 0.03151291 0.13350301 0.13125103 0.06735716 0.06150526
 0.05486908 0.13343865 0.0386499  0.09647172 0.0283247  0.06862502
 0.09597221 0.02796993 0.12808692 0.0267551  0.053509   0.0505678
 0.05501946 0.10365496 0.10768923 0.09764545]",0.42,0.0,0.0018525870054254341,0.02163106274351736,0.8194444444444443,0.0029344235273906618,0.02384673224105529,0.921,,2,train,entropy
3,[0. 0. 0. ... 0. 0. 0.],0.10108661546403946,"[0.05522109 0.10200088 0.17269006 0.22551422 0.03462926 0.12076631
 0.06181776 0.10883196 0.1129957  0.09060646 0.03866768 0.02935778
 0.08997334 0.09629565 0.19830785 0.03629682 0.07172662 0.08408645
 0.11195547 0.09697892 0.06827388 0.09506531 0.03428634 0.04720402
 0.08833697 0.20200045 0.14434632 0.07008376 0.1677618  0.13610615
 0.07816437 0.15242717 0.28690268 0.19200964 0.216529   0.11458781
 0.1108328  0.0325941  0.10664693 0.1246123  0.05791947 0.03849987
 0.0519055  0.04383191 0.19276391 0.24801447 0.06375891 0.07237918
 0.04457771 0.07281796 0.07573191 0.10312107 0.20883564 0.21411184
 0.18611372 0.06362732 0.17884509 0.07790212 0.07177476 0.11135658
 0.23065379 0.05237804 0.1456864  0.04148967 0.0318339  0.18848943
 0.12252674 0.16126261 0.09005738 0.03157588 0.07747599 0.03639205
 0.06374045 0.10096093 0.15653332 0.04176022 0.05171145 0.13225747
 0.08228475 0.03463584 0.1405439  0.12922472 0.07252735 0.07366208
 0.05904067 0.14861106 0.04358507 0.09828451 0.03154382 0.0744227
 0.09889518 0.03365449 0.13253575 0.02863284 0.05698995 0.05252695
 0.06102703 0.10456759 0.11338    0.09591858]",0.47,0.5,0.0024612941643509315,0.022813381700927025,0.8535555555555555,0.00309925269704631,0.02305003406002569,0.905,,3,train,entropy
4,[1. 0. 0. ... 0. 0. 0.],0.10468477269902184,"[0.06202757 0.11212684 0.17364757 0.22328116 0.03843303 0.12434003
 0.0627899  0.11328413 0.1193903  0.09343546 0.04162982 0.03384987
 0.09835678 0.10079133 0.20336644 0.03798225 0.07416978 0.08818923
 0.11360146 0.10661902 0.06908418 0.09831958 0.0367976  0.05602581
 0.09144059 0.20610994 0.14279186 0.0744209  0.18083905 0.14486483
 0.08805187 0.1534389  0.28556615 0.19207491 0.20716513 0.11216909
 0.11029397 0.03891917 0.10952783 0.12203453 0.06329307 0.04070649
 0.05477594 0.04813661 0.19257717 0.24417272 0.06617012 0.08050298
 0.04814689 0.07493653 0.07856126 0.10973345 0.20634747 0.21722337
 0.1904823  0.06734863 0.18703881 0.07609671 0.07569963 0.11159204
 0.24486767 0.05762158 0.15943322 0.04401858 0.03621221 0.18873508
 0.125386   0.15850813 0.10326913 0.03381124 0.08152484 0.04075935
 0.07007954 0.10113817 0.16220931 0.04533236 0.055736   0.13489336
 0.08404314 0.03962236 0.14637336 0.12908042 0.07715974 0.07944129
 0.06568806 0.14767442 0.04880497 0.10136498 0.03475861 0.07717008
 0.10070565 0.04198906 0.14214708 0.03348089 0.06081214 0.05710984
 0.06201916 0.10558398 0.11763064 0.09749155]",0.49,0.5,0.003516134520501338,0.023396863783804442,0.8464444444444444,0.0034196248859544682,0.023372956103815797,0.893,,4,train,entropy
5,[0. 0. 0. ... 0. 0. 0.],0.10933102018695275,"[0.06384174 0.11407362 0.16766283 0.23358122 0.04100533 0.13030698
 0.06928712 0.11494986 0.12671018 0.09834935 0.04135333 0.03928659
 0.10035389 0.10378613 0.20385074 0.04471211 0.07832894 0.09497122
 0.12518776 0.11497609 0.06832996 0.09918543 0.03796229 0.05870719
 0.09580315 0.21050893 0.14208697 0.0846067  0.17992486 0.15948022
 0.08763729 0.15646191 0.28634639 0.18505678 0.19620039 0.12745901
 0.11939096 0.04124318 0.11043951 0.13917122 0.06860875 0.04541456
 0.05859095 0.05663632 0.19238338 0.25621157 0.07209582 0.09125843
 0.05045478 0.07834694 0.08417058 0.11300171 0.20938036 0.22966854
 0.18761915 0.06945508 0.1907568  0.08092408 0.08046414 0.11316109
 0.25596931 0.06176137 0.16828106 0.04821964 0.04153926 0.19647642
 0.13433791 0.16388234 0.10755908 0.03682205 0.08554578 0.04503923
 0.08039313 0.11409571 0.17064577 0.05259345 0.05974559 0.14318111
 0.08631203 0.04567556 0.148069   0.12971336 0.08029711 0.08336188
 0.06746603 0.15570857 0.05368377 0.11611195 0.03708319 0.08027987
 0.11208417 0.05293693 0.14606009 0.0323313  0.06465778 0.0612612
 0.06751857 0.10500541 0.12082476 0.09939081]",0.41,-1.0,0.003793392439680633,0.024418917103318442,0.836,0.0035008787019819012,0.022830824205482034,0.884,,5,train,entropy
6,[0. 1. 0. ... 0. 0. 0.],0.11335792545381937,"[0.06660441 0.1157677  0.17001156 0.23361911 0.04838203 0.13065921
 0.07294817 0.11886142 0.13075932 0.10047906 0.04694508 0.04206212
 0.10727755 0.10730437 0.20681569 0.04819196 0.08217367 0.10105679
 0.12444197 0.12618564 0.07494646 0.10175476 0.04176772 0.06377693
 0.09709092 0.21555345 0.14816366 0.08960665 0.18119863 0.16962079
 0.09040521 0.16160865 0.29339486 0.18672451 0.20142398 0.12665479
 0.122348   0.04204491 0.12299442 0.14986388 0.07407782 0.05366728
 0.06844012 0.06138065 0.19090542 0.26090775 0.07449308 0.09601851
 0.05549866 0.08674435 0.08673279 0.11690602 0.21307207 0.23411486
 0.19160901 0.07456064 0.19208201 0.08443329 0.08434407 0.11740924
 0.24462104 0.07036678 0.17671753 0.05109937 0.04517394 0.19874714
 0.13700469 0.16784405 0.11491594 0.03884063 0.08743889 0.05003245
 0.08277643 0.11322908 0.17060545 0.05724034 0.06755224 0.14901875
 0.08988093 0.04751523 0.15382238 0.13255383 0.08503928 0.0924971
 0.07195624 0.16182252 0.05789092 0.11383851 0.04250801 0.08578939
 0.11389672 0.05570471 0.15300639 0.03772624 0.06824579 0.06281522
 0.07183441 0.1090321  0.12324046 0.10306377]",0.42,0.0,0.004547259013316974,0.024960609724817624,0.8328888888888888,0.003224615727488633,0.023097175964228618,0.89,,6,train,entropy
7,[0. 0. 0. ... 0. 0. 0.],0.1173536472525615,"[0.06837483 0.11505739 0.16957532 0.23383552 0.0534971  0.13783236
 0.08009588 0.11879233 0.13839503 0.10368698 0.04849041 0.04880697
 0.10994161 0.10979744 0.21157765 0.05360296 0.08511327 0.10266997
 0.12831376 0.13128609 0.08491445 0.10249225 0.04446884 0.06959162
 0.10097459 0.21654442 0.15803857 0.09036415 0.19456061 0.16511762
 0.09377163 0.16717776 0.28459844 0.19501873 0.21412259 0.12237113
 0.12786684 0.04518455 0.13857412 0.15082625 0.07970757 0.06188283
 0.07156799 0.07184425 0.19374358 0.26028578 0.07741986 0.0978781
 0.06225225 0.0907378  0.09059301 0.12445245 0.21582079 0.23228515
 0.19708818 0.07964497 0.19358124 0.08923433 0.09069353 0.11547504
 0.24160017 0.07800636 0.18963462 0.05582346 0.05027618 0.19825163
 0.13785729 0.17640896 0.1227881  0.0381929  0.09105491 0.0570124
 0.08681017 0.11168386 0.17464082 0.06272926 0.07403539 0.1552185
 0.08970952 0.05178025 0.15584209 0.13379208 0.08831445 0.09675113
 0.07766093 0.16882827 0.06190449 0.11352662 0.04706788 0.09295911
 0.11648843 0.06262803 0.15938691 0.0412633  0.07493079 0.06922939
 0.07613254 0.10884657 0.13020799 0.10457822]",0.52,0.0,0.005440701947252132,0.026157773437096105,0.8405555555555556,0.003498557164381119,0.023125461106750383,0.896,,7,train,entropy
8,[1. 0. 0. ... 0. 0. 0.],0.12060792566664663,"[0.06647328 0.11627622 0.17992833 0.23372937 0.06332506 0.13830678
 0.08501681 0.117639   0.13986842 0.10608174 0.05347206 0.05372033
 0.11389333 0.11094529 0.2073595  0.05827936 0.08763333 0.10569303
 0.13114525 0.13694987 0.09010921 0.10316786 0.04966161 0.07986998
 0.10573735 0.21778356 0.16249965 0.09282429 0.19363201 0.17025495
 0.1043674  0.16804947 0.29220033 0.18682564 0.20422627 0.11813489
 0.12527661 0.04889919 0.14269046 0.15343701 0.0832522  0.06595224
 0.07495905 0.08425158 0.20040964 0.26056615 0.07998778 0.10149967
 0.06468227 0.09578158 0.09330747 0.12763702 0.21535742 0.24430073
 0.1972622  0.08113423 0.20359139 0.09542723 0.09207162 0.11631232
 0.24397042 0.07967699 0.19222872 0.05677462 0.05507846 0.20168723
 0.14530571 0.18302427 0.13320969 0.04503123 0.09297189 0.06034133
 0.09135751 0.11652216 0.17415016 0.06769699 0.07898044 0.15899464
 0.09169097 0.05618782 0.15774954 0.14105093 0.09368623 0.10352258
 0.08257105 0.16625142 0.06703465 0.11147593 0.05013948 0.09787609
 0.11668859 0.06454563 0.15579485 0.04573349 0.07832667 0.07453318
 0.08155973 0.11026759 0.13762816 0.10634763]",0.42,0.0,0.006302576608253474,0.027089691176752653,0.8274444444444444,0.0030783588586392554,0.022788396491699395,0.885,,8,train,entropy
9,[1. 0. 1. ... 0. 0. 0.],0.12401000137965125,"[0.07095442 0.11787651 0.17851666 0.23198667 0.06599044 0.14121898
 0.08779491 0.12278237 0.14894245 0.10477095 0.05704037 0.05746341
 0.11770258 0.11353209 0.20553598 0.06105923 0.08755789 0.10851696
 0.13074797 0.1449408  0.09761819 0.10709448 0.05579102 0.08346735
 0.10880238 0.2248574  0.16498588 0.09472893 0.20130706 0.17295098
 0.10640293 0.16967724 0.29632584 0.17844316 0.21507053 0.11404179
 0.12387839 0.05445144 0.14247024 0.15461844 0.08738146 0.07152403
 0.07896008 0.09722826 0.20838709 0.27353317 0.08198896 0.10740201
 0.06859797 0.09891286 0.09862153 0.13295503 0.21205493 0.24825505
 0.20110172 0.08786374 0.20398851 0.09674938 0.09616019 0.11724277
 0.24479474 0.08654128 0.20464396 0.06166895 0.06277856 0.19898308
 0.14780814 0.18451407 0.1400808  0.0522339  0.09494465 0.06525771
 0.09564593 0.11519996 0.1734736  0.07212413 0.08217632 0.16182225
 0.09622851 0.06048369 0.16223833 0.1418038  0.10135844 0.1091721
 0.08483301 0.16754063 0.07245601 0.11233612 0.05569807 0.09775362
 0.11706596 0.07281338 0.16322544 0.04950444 0.08378056 0.07722431
 0.08369393 0.11159623 0.13829969 0.10637779]",0.38,0.0,0.0073266702472969255,0.027781729378571363,0.8242222222222221,0.003203721889081579,0.023467239912221664,0.913,,9,train,entropy
