,interaction_histogram,mse,interaction_spread,interaction_similarity,rec_similarity,serendipity_metric,diversity_metric,novelty_metric,timesteps,state,model,lambda
0,,0.014654112668664307,,,,,,,0,train,myopic,10
1,[3. 1. 0. ... 0. 0. 0.],0.014654112668664307,-939.5,0.0021917370725185238,0.004228485464241182,0.6237539766702015,0.9271945328148934,291.70845737470034,1,run,myopic,10
2,[1. 2. 0. ... 0. 0. 0.],0.014654112668664307,-0.5,0.0025973227596172385,0.004166321793808916,0.6274655355249205,0.9290797690585603,294.86467089493823,2,run,myopic,10
3,[0. 0. 2. ... 0. 0. 0.],0.014654112668664307,0.0,0.0030571864573367556,0.004190259464481175,0.608271474019088,0.927112053729233,290.590534903703,3,run,myopic,10
4,[2. 0. 3. ... 0. 0. 0.],0.014654112668664307,0.0,0.0036128399196546797,0.004185215842144003,0.6039236479321315,0.9277954518675623,264.50425788126955,4,run,myopic,10
5,[3. 2. 0. ... 1. 0. 0.],0.014654112668664307,-0.5,0.004172622066487239,0.004201355588359047,0.6086956521739131,0.9272180982679393,295.8186655502268,5,run,myopic,10
6,[2. 1. 1. ... 0. 0. 0.],0.014654112668664307,0.0,0.004717995440279342,0.004168901244165145,0.5935312831389183,0.9301166489925771,284.7842156276207,6,run,myopic,10
7,[0. 0. 2. ... 0. 0. 0.],0.014654112668664307,0.5,0.005323968127417687,0.004184932675128293,0.568186638388123,0.9293389890420645,294.33554202917156,7,run,myopic,10
8,[2. 1. 1. ... 0. 0. 0.],0.014654112668664307,0.0,0.005903565735512299,0.004167814223244184,0.5660657476139979,0.9272887946270768,279.3260604751979,8,run,myopic,10
9,[3. 1. 0. ... 0. 0. 0.],0.014654112668664307,0.5,0.006451134278331888,0.00419960242863884,0.5576882290562036,0.9263579592317663,291.70613337096694,9,run,myopic,10
10,[2. 2. 2. ... 0. 0. 0.],0.014654112668664307,-0.5,0.0070073225361732714,0.004194082219193256,0.559915164369035,0.9273477082596914,302.08718668782143,10,run,myopic,10
11,[1. 1. 5. ... 0. 0. 0.],2.4459684076495356,0.5,0.007462490668248272,0.00519777312213729,0.667338282078473,0.9619653587840228,932.7669928771572,11,run,myopic,10
12,[0. 1. 4. ... 0. 0. 1.],2.3974220060312565,-0.5,0.007794234893041911,0.005200730708774732,0.6255567338282079,0.9628019323671497,935.698257007986,12,run,myopic,10
13,[1. 2. 1. ... 0. 0. 1.],2.3254472471211716,-0.5,0.008034828874971159,0.005195072203962854,0.6712619300106044,0.9628961941793331,921.8120065109769,13,run,myopic,10
14,[0. 1. 2. ... 0. 0. 0.],2.2605700410978855,0.5,0.00823900329140235,0.005151099306408622,0.6685047720042417,0.961918227877931,884.1260548127166,14,run,myopic,10
15,[1. 0. 2. ... 0. 0. 0.],2.203693795084269,0.0,0.008398613210965475,0.005113116242285048,0.6717921527041357,0.9601743843525392,846.57447820658,15,run,myopic,10
16,[0. 0. 1. ... 1. 0. 0.],2.167982296080915,0.0,0.008492579938152991,0.005113382388332592,0.6221633085896077,0.9609402615765289,816.9883161747538,16,run,myopic,10
17,[0. 0. 1. ... 0. 2. 1.],2.1529096739987894,0.0,0.008522722448163112,0.0050841798227371105,0.6172852598091199,0.9600094261812184,804.3854803149749,17,run,myopic,10
18,[0. 0. 2. ... 1. 2. 0.],2.152580163714754,0.0,0.008548480069392437,0.005074190061789465,0.6167550371155885,0.9594674207611642,793.1797288102784,18,run,myopic,10
19,[0. 2. 2. ... 0. 0. 0.],2.1641174420758458,-0.5,0.008556824956007862,0.0050265421824739745,0.46002120890774123,0.959066808059385,782.4420180508962,19,run,myopic,10
20,[1. 0. 1. ... 0. 0. 0.],2.1809163092324138,-0.5,0.00856571655418602,0.005021605328027965,0.4623541887592789,0.9589961117002475,782.1211333335915,20,run,myopic,10
21,[0. 2. 3. ... 1. 0. 0.],2.1981232849778514,0.5,0.008573061868333195,0.005017432096107917,0.45121951219512196,0.9590314598798162,779.6709982391492,21,run,myopic,10
22,[0. 0. 2. ... 0. 0. 0.],2.2139292411415257,1.5,0.008577262731673871,0.005018225892168347,0.4432661717921527,0.9588429362554496,773.3431582775822,22,run,myopic,10
23,[0. 0. 2. ... 0. 0. 0.],2.229095907626157,-1.5,0.008577545367523413,0.005011091011788917,0.4420996818663839,0.9583009308353954,771.8173583478226,23,run,myopic,10
24,[1. 0. 4. ... 0. 0. 0.],2.244010120406861,0.0,0.008584473647068653,0.005032229506879652,0.42067868504772005,0.9584658890067164,776.9794692053964,24,run,myopic,10
25,[0. 1. 2. ... 0. 0. 1.],2.25917201415311,0.0,0.00858520601138371,0.005016080476500142,0.42258748674443264,0.9589843289737247,776.3587593347606,25,run,myopic,10
26,[1. 0. 1. ... 0. 0. 0.],2.2740383836723232,0.0,0.008587293473356811,0.005030385826556057,0.39575821845174974,0.9584069753741016,781.4791562743574,26,run,myopic,10
27,[0. 0. 3. ... 0. 0. 1.],2.287803902408289,0.5,0.008587541447321878,0.005016683173508988,0.375609756097561,0.9585837162719454,767.1884901727434,27,run,myopic,10
28,[2. 1. 1. ... 0. 1. 0.],2.3007527864371937,-0.5,0.008591279222174368,0.005009751771067084,0.3694591728525981,0.9580063626723224,771.1655063203157,28,run,myopic,10
29,[0. 0. 4. ... 0. 0. 0.],2.3128706598440334,1.0,0.008594195674436277,0.005022231235447929,0.35535524920466594,0.9581124072110287,765.4242823719495,29,run,myopic,10
30,[0. 1. 2. ... 0. 1. 0.],2.325469766309474,-1.0,0.008598253874160532,0.005019808842206986,0.3464475079533404,0.9578414045010016,773.1367291467271,30,run,myopic,10
31,[2. 0. 2. ... 0. 1. 0.],2.337293389111732,0.5,0.008601350274001184,0.0050225376128747645,0.3346765641569459,0.9585719335454225,761.9485358056519,31,run,myopic,10
32,[1. 0. 1. ... 0. 0. 0.],2.3483658149480946,-0.5,0.008602840830893315,0.005023387887602265,0.3323435843054083,0.9584541062801933,748.8376071989237,32,run,myopic,10
33,[0. 1. 4. ... 0. 0. 0.],2.3589967864767285,1.0,0.008606126184935543,0.0050090105852718635,0.31993637327677626,0.9581477553905975,756.3222308191596,33,run,myopic,10
34,[1. 1. 2. ... 1. 0. 1.],2.369031782585954,0.0,0.008609956766534385,0.004978127585911025,0.3273594909862142,0.9577589254153412,753.9771891800511,34,run,myopic,10
35,[0. 1. 1. ... 0. 0. 0.],2.378921398537286,-1.0,0.008613523655653613,0.005030137475157035,0.328101802757158,0.9581359726640746,751.1451574208841,35,run,myopic,10
36,[1. 1. 4. ... 0. 0. 1.],2.389055383252477,0.0,0.008615801014369715,0.004988895669311684,0.3088016967126193,0.9580652763049371,747.3753305596989,36,run,myopic,10
37,[0. 2. 4. ... 0. 0. 0.],2.3987514665367913,0.0,0.008618606722338107,0.004999648279104932,0.29544008483563095,0.9583009308353954,751.2631479954532,37,run,myopic,10
38,[2. 0. 2. ... 0. 0. 0.],2.4085496305106506,-0.5,0.008623128818649954,0.00501051384623231,0.2990455991516437,0.9581241899375517,750.7279808427577,38,run,myopic,10
39,[0. 1. 0. ... 1. 1. 1.],2.4185238184247426,0.0,0.008626859010126513,0.004986850058411319,0.2963944856839873,0.9584187581006246,748.1691032229951,39,run,myopic,10
40,[0. 0. 3. ... 1. 1. 1.],2.427460849159179,0.5,0.00863203186653447,0.005011285979242358,0.275609756097561,0.9582655826558266,749.0920965551649,40,run,myopic,10
41,[0. 2. 2. ... 0. 1. 0.],2.4365959301949562,1.5,0.008633621938203776,0.005004427302755305,0.2704135737009544,0.9579827972192766,745.0417366891446,41,run,myopic,10
42,[0. 3. 0. ... 0. 0. 0.],2.444923204383586,-1.0,0.008639788846534125,0.005003101214599768,0.2725344644750795,0.9581241899375517,743.0548899485892,42,run,myopic,10
43,[1. 0. 4. ... 0. 0. 1.],2.4537192355256283,-0.5,0.008642065181397051,0.005007857801519385,0.26606574761399787,0.9577471426888182,749.4028645575416,43,run,myopic,10
44,[1. 0. 1. ... 0. 0. 0.],2.4620823840668407,0.0,0.008648983692212077,0.005010818676298402,0.24941675503711558,0.957770708141864,756.0319351071264,44,run,myopic,10
45,[1. 0. 2. ... 0. 0. 0.],2.470119177907929,0.0,0.008659343399495258,0.005004322082224873,0.23934252386002122,0.9575586190644515,750.8157810755276,45,run,myopic,10
