,interaction_histogram,mse,interaction_spread,interaction_similarity,rec_similarity,mean_num_topics,serendipity_metric,diversity_metric,novelty_metric,timesteps,model,state
0,,0.014654112668664307,,,,,,,,0,myopic,train
1,[0. 1. 3. ... 0. 0. 0.],0.014654112668664307,-940.5,0.0022457152046277463,0.004150542582646655,1.0,0.5090137857900318,0.9037586897608108,28.68334756114866,1,myopic,train
2,[1. 0. 1. ... 1. 0. 0.],0.014654112668664307,1.5,0.002700780846159942,0.004221898349564266,2.0,0.5024390243902439,0.9022505007658773,27.442819212009606,2,myopic,train
3,[1. 1. 0. ... 0. 0. 0.],0.014654112668664307,-0.5,0.0032811957055901416,0.0042459427881277,3.0,0.4733828207847296,0.9034994697773067,28.216507360927196,3,myopic,train
4,[5. 0. 0. ... 0. 0. 0.],0.014654112668664307,-0.5,0.0038674689059435188,0.004178803579230881,4.0,0.47560975609756095,0.9055614469188171,28.774251244401018,4,myopic,train
5,[1. 0. 1. ... 2. 0. 0.],0.014654112668664307,0.5,0.004485629188048838,0.004178627953786715,5.0,0.4592788971367975,0.9021798044067398,27.44463607322345,5,myopic,train
6,[4. 0. 1. ... 1. 0. 0.],0.014654112668664307,0.0,0.005067725346859128,0.0041994709029758055,6.0,0.4153764581124072,0.9030870743490045,28.273478051768887,6,myopic,train
7,[1. 2. 2. ... 0. 0. 0.],0.014654112668664307,-0.5,0.005607751061953626,0.004192814930745898,7.0,0.41993637327677624,0.9002945681630731,29.309698425967724,7,myopic,train
8,[1. 1. 0. ... 1. 0. 0.],0.014654112668664307,1.0,0.00618962040206133,0.004191450158571821,8.0,0.4145281018027572,0.904300695180865,28.041008901541097,8,myopic,train
9,[2. 0. 1. ... 0. 0. 0.],0.014654112668664307,-0.5,0.006797758012866251,0.00417937378166416,9.0,0.3946977730646872,0.904300695180865,29.6817395202442,9,myopic,train
10,[4. 2. 3. ... 0. 0. 0.],0.014654112668664307,0.5,0.00740429834889676,0.004173564989440266,10.0,0.3937433722163309,0.9065276304936963,29.16530927060687,10,myopic,train
11,[1. 1. 1. ... 0. 0. 0.],0.014654112668664307,-1.0,0.007997731163911377,0.004190239348791536,11.0,0.396288441145281,0.9000235654530461,28.09591267587565,11,myopic,train
12,[1. 0. 3. ... 0. 0. 0.],0.014654112668664307,0.0,0.008588603295648914,0.004169373962871679,12.0,0.3848356309650053,0.9026628961941795,28.124044542713243,12,myopic,train
13,[1. 1. 0. ... 1. 0. 0.],0.014654112668664307,0.0,0.00918892714104296,0.0042281651605676806,13.0,0.3910922587486744,0.9002356545304585,27.014107352364203,13,myopic,train
14,[3. 0. 2. ... 0. 0. 0.],0.014654112668664307,0.0,0.009779123185309165,0.0042092208230084995,14.0,0.3860021208907741,0.9022387180393543,27.27620032308102,14,myopic,train
15,[2. 0. 0. ... 0. 0. 0.],0.014654112668664307,0.0,0.010381206508433775,0.004163512560382587,15.0,0.36850477200424175,0.9009190526687877,28.50952123606915,15,myopic,train
16,[2. 1. 3. ... 0. 0. 0.],0.014654112668664307,0.0,0.010985995249260437,0.004157022929432401,16.0,0.37317073170731707,0.906020973253211,30.770895588090532,16,myopic,train
17,[1. 0. 0. ... 0. 0. 0.],0.014654112668664307,0.5,0.011564526591674317,0.004194679500439504,17.0,0.179745493107105,0.9033934252386004,31.17938988058207,17,myopic,train
18,[1. 1. 1. ... 0. 0. 0.],0.014654112668664307,0.0,0.012181658419271603,0.004211928704306265,18.0,0.17560975609756097,0.904029692470838,30.496688740135127,18,myopic,train
19,[3. 0. 1. ... 0. 0. 0.],0.014654112668664307,0.0,0.01280898582447048,0.004238869028497557,19.0,0.15737009544008485,0.905714622363615,28.787283648123545,19,myopic,train
20,[3. 0. 2. ... 0. 0. 0.],0.014654112668664307,-0.5,0.01335247768088827,0.004209479038832266,20.0,0.15790031813361613,0.9042771297278192,28.103319963186166,20,myopic,train
21,[3. 1. 3. ... 0. 0. 0.],0.014654112668664307,0.0,0.01393501899036214,0.004192580505593552,21.0,0.156203605514316,0.9040768233769296,29.495896044231987,21,myopic,train
22,[0. 0. 1. ... 0. 0. 0.],0.014654112668664307,0.0,0.014540322482964343,0.004183514519008626,22.0,0.12916224814422056,0.9021208907741252,28.583072520545826,22,myopic,train
23,[2. 1. 0. ... 0. 0. 0.],0.014654112668664307,1.0,0.015110057209036411,0.0042063953422943785,23.0,0.12651113467656416,0.8991162955107813,28.517583900365928,23,myopic,train
24,[3. 4. 0. ... 0. 0. 0.],0.014654112668664307,-1.5,0.01566704490686015,0.00417962368042393,24.0,0.11134676564156946,0.9014728408153648,30.053147162903535,24,myopic,train
25,[3. 0. 0. ... 0. 0. 0.],0.014654112668664307,0.5,0.0162324641829769,0.004201437598478353,25.0,0.11505832449628844,0.9021444562271712,27.353634986170064,25,myopic,train
26,[3. 2. 2. ... 1. 0. 0.],0.014654112668664307,0.0,0.016799040672721907,0.0041920025663565634,26.0,0.12099681866383881,0.9022269353128315,28.235225319851292,26,myopic,train
27,[2. 0. 2. ... 0. 0. 0.],0.014654112668664307,0.5,0.017432997916301436,0.004246484364387249,27.0,0.11781548250265111,0.9007540944974669,31.322148298849505,27,myopic,train
