,interaction_histogram,mse,interaction_spread,interaction_similarity,rec_similarity,mean_num_topics,serendipity_metric,diversity_metric,novelty_metric,timesteps,model,state
0,,0.014654112668664307,,,,,,,,0,myopic_prob,train
1,[0. 0. 2. ... 0. 0. 0.],0.014654112668664307,-940.0,0.0022389679381140935,0.004208513679149597,1.0,0.5123011664899257,0.902863202545069,28.847458913466934,1,myopic_prob,train
2,[3. 1. 2. ... 0. 0. 0.],0.014654112668664307,0.0,0.0027202729494216074,0.004208304785449491,2.0,0.49204665959703076,0.9035466006833983,30.242600744407174,2,myopic_prob,train
3,[4. 1. 1. ... 0. 0. 0.],0.014654112668664307,0.0,0.0031743265009766125,0.004204698661241238,3.0,0.4800636267232238,0.9051137033109463,26.885820132235146,3,myopic_prob,train
4,[2. 1. 1. ... 0. 0. 0.],0.014654112668664307,0.0,0.0037267187844794644,0.004220622550632834,4.0,0.4585365853658537,0.8992105573229647,29.153908246095643,4,myopic_prob,train
5,[3. 2. 2. ... 0. 0. 0.],0.014654112668664307,0.0,0.004405353673952112,0.004195343318197647,5.0,0.41548250265111347,0.9024743725698128,27.634372148218958,5,myopic_prob,train
6,[1. 0. 1. ... 0. 0. 0.],0.014654112668664307,0.5,0.005012068917397509,0.004199299919613858,6.0,0.4134676564156946,0.9073524213503007,30.638761194508113,6,myopic_prob,train
7,[1. 0. 2. ... 0. 0. 0.],0.014654112668664307,0.0,0.005616278114424674,0.00419591274695055,7.0,0.4212089077412513,0.9045127842582775,29.710301910838762,7,myopic_prob,train
8,[1. 0. 0. ... 1. 1. 0.],0.014654112668664307,0.0,0.006167167335522863,0.004171363868785365,8.0,0.4009544008483563,0.9044067397195713,29.181117257836895,8,myopic_prob,train
9,[3. 0. 1. ... 0. 0. 0.],0.014654112668664307,-0.5,0.006743525022790918,0.004173971945315296,9.0,0.3876988335100742,0.9032873806998941,27.541232210352543,9,myopic_prob,train
10,[0. 2. 0. ... 0. 0. 0.],0.014654112668664307,0.0,0.007322548119882051,0.0041965200860416135,10.0,0.39650053022269355,0.9036644279486273,29.27490678977042,10,myopic_prob,train
11,[5. 1. 0. ... 0. 0. 0.],0.014654112668664307,0.0,0.007969378697584652,0.004182256514725726,11.0,0.3938494167550371,0.9007894426770356,28.639508364185673,11,myopic_prob,train
12,[2. 0. 0. ... 0. 0. 0.],0.014654112668664307,1.0,0.008604793741605712,0.004204154763940569,12.0,0.4039236479321315,0.9042771297278192,28.050757688185882,12,myopic_prob,train
13,[0. 3. 2. ... 0. 0. 0.],0.014654112668664307,-0.5,0.00920544771808512,0.004173194396542647,13.0,0.3903499469777306,0.9013785790031814,30.394921124770907,13,myopic_prob,train
14,[3. 1. 0. ... 0. 0. 0.],0.014654112668664307,0.5,0.009820052332164932,0.004220810554962951,14.0,0.3862142099681866,0.9030988570755273,28.60787675916392,14,myopic_prob,train
15,[3. 1. 1. ... 0. 0. 0.],0.014654112668664307,0.5,0.010432633524286668,0.004210779788955645,15.0,0.3811240721102863,0.9036172970425357,29.527204197014992,15,myopic_prob,train
